time,nof_ue,dl_brate,ul_brate
1612889278785,0,0.0,0.0
1612889279035,0,0.0,0.0
1612889279285,0,0.0,0.0
1612889279535,0,0.0,0.0
1612889279785,0,0.0,0.0
1612889280035,0,0.0,0.0
1612889280285,0,0.0,0.0
1612889280535,0,0.0,0.0
1612889280785,0,0.0,0.0
1612889281035,0,0.0,0.0
1612889281285,0,0.0,0.0
1612889281535,0,0.0,0.0
1612889281785,0,0.0,0.0
1612889282035,0,0.0,0.0
1612889282285,0,0.0,0.0
1612889282535,0,0.0,0.0
1612889282785,0,0.0,0.0
1612889283035,0,0.0,0.0
1612889283285,0,0.0,0.0
1612889283535,0,0.0,0.0
1612889283785,0,0.0,0.0
1612889284035,0,0.0,0.0
1612889284285,0,0.0,0.0
1612889284535,0,0.0,0.0
1612889284785,0,0.0,0.0
1612889285035,0,0.0,0.0
1612889285285,0,0.0,0.0
1612889285535,0,0.0,0.0
1612889285785,0,0.0,0.0
1612889286035,0,0.0,0.0
1612889286285,0,0.0,0.0
1612889286535,0,0.0,0.0
1612889286785,0,0.0,0.0
1612889287035,0,0.0,0.0
1612889287285,0,0.0,0.0
1612889287535,0,0.0,0.0
1612889287785,0,0.0,0.0
1612889288035,0,0.0,0.0
1612889288285,0,0.0,0.0
1612889288535,0,0.0,0.0
1612889288785,0,0.0,0.0
1612889289035,0,0.0,0.0
1612889289285,0,0.0,0.0
1612889289535,0,0.0,0.0
1612889289785,0,0.0,0.0
1612889290035,0,0.0,0.0
1612889290285,0,0.0,0.0
1612889290535,0,0.0,0.0
1612889290785,0,0.0,0.0
1612889291035,0,0.0,0.0
1612889291285,0,0.0,0.0
1612889291535,0,0.0,0.0
1612889291785,0,0.0,0.0
1612889292035,0,0.0,0.0
1612889292285,0,0.0,0.0
1612889292535,0,0.0,0.0
1612889292785,0,0.0,0.0
1612889293035,0,0.0,0.0
1612889293285,0,0.0,0.0
1612889293535,0,0.0,0.0
1612889293785,0,0.0,0.0
1612889294035,0,0.0,0.0
1612889294285,0,0.0,0.0
1612889294535,0,0.0,0.0
1612889294785,0,0.0,0.0
1612889295035,0,0.0,0.0
1612889295285,0,0.0,0.0
1612889295535,0,0.0,0.0
1612889295785,0,0.0,0.0
1612889296035,0,0.0,0.0
1612889296285,0,0.0,0.0
1612889296535,0,0.0,0.0
1612889296785,0,0.0,0.0
1612889297035,0,0.0,0.0
1612889297285,0,0.0,0.0
1612889297535,0,0.0,0.0
1612889297785,0,0.0,0.0
1612889298035,0,0.0,0.0
1612889298285,0,0.0,0.0
1612889298535,0,0.0,0.0
1612889298785,0,0.0,0.0
1612889299035,0,0.0,0.0
1612889299285,0,0.0,0.0
1612889299535,0,0.0,0.0
1612889299785,0,0.0,0.0
1612889300035,0,0.0,0.0
1612889300285,0,0.0,0.0
1612889300535,0,0.0,0.0
1612889300785,0,0.0,0.0
1612889301035,0,0.0,0.0
1612889301285,0,0.0,0.0
1612889301535,0,0.0,0.0
1612889301785,0,0.0,0.0
1612889302035,0,0.0,0.0
1612889302285,0,0.0,0.0
1612889302535,0,0.0,0.0
1612889302785,0,0.0,0.0
1612889303035,0,0.0,0.0
1612889303285,0,0.0,0.0
1612889303535,0,0.0,0.0
1612889303785,0,0.0,0.0
1612889304035,0,0.0,0.0
1612889304285,0,0.0,0.0
1612889304535,0,0.0,0.0
1612889304785,0,0.0,0.0
1612889305035,0,0.0,0.0
1612889305285,0,0.0,0.0
1612889305535,0,0.0,0.0
1612889305785,0,0.0,0.0
1612889306035,0,0.0,0.0
1612889306285,0,0.0,0.0
1612889306535,0,0.0,0.0
1612889306785,0,0.0,0.0
1612889307035,0,0.0,0.0
1612889307285,0,0.0,0.0
1612889307535,0,0.0,0.0
