time,nof_ue,dl_brate,ul_brate
1614006492026,0,0.0,0.0
1614006492276,0,0.0,0.0
1614006492526,0,0.0,0.0
1614006492776,0,0.0,0.0
1614006493026,0,0.0,0.0
1614006493276,0,0.0,0.0
1614006493526,0,0.0,0.0
1614006493776,0,0.0,0.0
1614006494026,0,0.0,0.0
1614006494276,0,0.0,0.0
1614006494526,0,0.0,0.0
1614006494776,0,0.0,0.0
1614006495026,0,0.0,0.0
1614006495276,0,0.0,0.0
1614006495526,0,0.0,0.0
1614006495776,0,0.0,0.0
1614006496026,0,0.0,0.0
1614006496276,0,0.0,0.0
1614006496526,0,0.0,0.0
1614006496776,0,0.0,0.0
1614006497026,0,0.0,0.0
1614006497276,0,0.0,0.0
1614006497526,0,0.0,0.0
1614006497776,0,0.0,0.0
1614006498026,0,0.0,0.0
1614006498276,0,0.0,0.0
1614006498526,0,0.0,0.0
1614006498776,0,0.0,0.0
1614006499026,0,0.0,0.0
1614006499276,0,0.0,0.0
1614006499526,0,0.0,0.0
1614006499776,0,0.0,0.0
1614006500026,0,0.0,0.0
1614006500276,0,0.0,0.0
1614006500526,0,0.0,0.0
1614006500776,0,0.0,0.0
1614006501026,0,0.0,0.0
1614006501276,0,0.0,0.0
1614006501526,0,0.0,0.0
1614006501776,0,0.0,0.0
1614006502026,0,0.0,0.0
1614006502276,0,0.0,0.0
1614006502526,0,0.0,0.0
1614006502776,0,0.0,0.0
1614006503026,0,0.0,0.0
1614006503276,0,0.0,0.0
1614006503526,0,0.0,0.0
1614006503776,0,0.0,0.0
1614006504026,0,0.0,0.0
1614006504276,0,0.0,0.0
1614006504526,0,0.0,0.0
1614006504776,0,0.0,0.0
1614006505026,0,0.0,0.0
1614006505276,0,0.0,0.0
1614006505526,0,0.0,0.0
1614006505776,0,0.0,0.0
1614006506026,0,0.0,0.0
1614006506276,0,0.0,0.0
1614006506526,0,0.0,0.0
1614006506776,0,0.0,0.0
1614006507026,0,0.0,0.0
1614006507276,0,0.0,0.0
1614006507526,0,0.0,0.0
1614006507776,0,0.0,0.0
1614006508026,0,0.0,0.0
1614006508276,0,0.0,0.0
1614006508526,0,0.0,0.0
1614006508776,0,0.0,0.0
1614006509026,0,0.0,0.0
1614006509276,0,0.0,0.0
